postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,FELDA TEMBANGAU,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,FELDA WILAYAH NS TIMUR,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BARU CINA AIR HITAM,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG CINA SUNGAI LUI,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DUSAT,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GATCO/KAMPUNG SERAMPANG INDAH,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KERETAPI,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG LAMA AIR HITAM,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MELOR,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG GEDDES,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,PULAPAH,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,PUSAT PERNIAGAAN ARA,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,RISDA ESPEK PALONG 1 - 2,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,SUNGAI LUI,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN LELAYANG,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERTING INDAH,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERTING UTAMA,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SRI AIR HITAM,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SRI SERTING,BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,"PETI SURAT, BANDAR BARU SERTING",BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,"BEG BERKUNCI, BANDAR BARU SERTING",BANDAR SERI JEMPOL,NEGERI SEMBILAN,,nan,nan,nan
nan,AYER DEDALI,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,BATU KIKIR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,BAYAI LAMA,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,BAYAI,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,DESA PERMAI SERTING TENGAH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,FELCRA GUGUSAN SERTING,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,FELDA PASOH 3,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,GHALIB,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,GUNTOR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,"KAMPUNG BARU BATU 38, SERTING TENGAH",BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BARU BUKIT GELUGOR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BAYAI BARU,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BINTONGAN,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BIRAH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT BAHAGIA,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT GOMBANG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT KERDAS,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT PERAH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT SEMPIT,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT TEMPURONG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JAWA SERTING,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JELUTONG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JERAM,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JERJAK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KATA,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KERU,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG LONEK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MAJAU,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MASJID TERENTANG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MUNGKAR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PADANG LEBAR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PAJAH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PAUH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PAYA MENGKUANG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PONDOK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PULAU PABAI,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PULAU TAPAK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SERI MELENGGANG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SERTING TENGAH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SIMPANG BAHAU,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SUNGAI TALAN,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SUNGAI TALING,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TAMPIN,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TAPAK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TENGKEK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TERENTANG,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG BATU KIKIR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,SERTING HULU,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN ANGGERIK,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BAIDURI,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BERINGIN,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BUKIT GELUGOR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN GELUGOR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN INTAN,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN MAWARI (1 & 2),BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN MELATI INDAH,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN MUTIARA,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN PUTERA,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERI GELUGOR,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SETIA BUDI,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,PETI SURAT,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,BEG BERKUNCI,BATU KIKIR,NEGERI SEMBILAN,,nan,nan,nan
nan,FELCRA KERANGAI - PENAGOH,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,FELDA PASOH 1,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,FELDA PASOH 2,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,FELDA PASOH 4,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,GERAI PUSAT PENJAJA SIMPANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BAGONG SERTING ULU,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BERANGAN SERTING ULU,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DURIAN TAWAR,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GEYLANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KALU GEYLANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MELAYU PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ORANG ASLI BATU 17,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PARIT GONG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,PEKAN BARU SIMPANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,RUMAH RAKYAT 1 SIMPANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,RUMAH RAKYAT 2 SIMPANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,RUMAH RAKYAT PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,SERTING ULU,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,SIMPANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BUKIT PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN GUNUNG MAS,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN IPP (FRIM),SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERI DESA,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SIMPANG JAYA,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SRI PERDANA,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SRI PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,ZON PERINDUSTRIAN SIMPANG PERTANG,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,PETI SURAT,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,BEG BERKUNCI,SIMPANG PERTANG,NEGERI SEMBILAN,,nan,nan,nan
nan,AYER BANING (BATU 52),SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,DURIAN TIPUS,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,FELCRA LAKAI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BATU 51,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BATU 60 3/4,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BEMBAN,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DURIAN TIPUS,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JUNTAI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG LAKAI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MENTAUS,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PUTRA,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG RANGOI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SABUN,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SERDAI HILIR,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SERDAI ULU,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SIMPANG DURIAN,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SUNGAI BULOH,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG ABDULLAH KADIR,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG JUNTAI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,LOJI AIR LAKAI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,SIMPANG DURIAN,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,SINO MALAY,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BUNGA RAYA,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,BEG BERKUNCI,SIMPANG DURIAN,NEGERI SEMBILAN,,nan,nan,nan
nan,JALAN BAHAU (BATU 28 3/4),KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,JALAN BAHAU (BATU 30 1/2),KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,JALAN KERETAPI LAMA,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ACHEH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AIR PUTEH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ANAK AIR SUNGAI JERNIH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BARU JEMAPOH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BARU TERUSAN SEBERANG,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT TEMPURONG,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JUASSEH HILIR,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JUASSEH KAPITAN,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JUASSEH SEBERANG,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG JUASSEH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KUALA JEMAPOH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KUALA REMBANG PANAS,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG LUBOK GITAN,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PAYA KUMBOH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG REMBANG PANAS (BATU 5),KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG REMBANG PANAS ULU,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG REMBANG PANAS,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SERI JEMAPOH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TEBING TINGGI,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TERUSAN SEBERANG,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TERUSAN,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ULU REMBANG PANAS,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG JUASSEH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,MASJID REMBANG PANAS (BATU 3),KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,PEKAN JUASSEH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN DESA PERMAI,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN JEMAPOH,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN ROS SETIA,KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,"PETI SURAT, JUASSEH",KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,"BEG BERKUNCI, JUASSEH",KUALA PILAH,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ANAK DURIAN DAUN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ARONGAN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BARU TAMPIN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BATU BELANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT GEBANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT MERCHAT,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG CHENAGA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG CHENDERAM,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DUSUN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GADEK,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KEBUN KELAPA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KERU ALAI,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KERU,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KUALA INA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PONDOI,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG PULAU SEBANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG REPAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG SERI REPAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG TAMPIN PISANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ULU CHENDERAM,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG GADEK,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,LADANG REPAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,PUSAT KOMERSIAL DELIMA INDAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,RUMAH RAKYAT KUALA INA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,RUMAH RAKYAT REPAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BAHGIA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BATU BELANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BUKIT INA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN BUKIT TAMPIN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN CLONLEE 2,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN CLONLEE,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN CRESCENT,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN DESA PERMAI ULU YOH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN DESA PERMAI,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN DUN PULAU SEBANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN GUNONG MAS,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN HOCK LEE,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN INDAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN KASTURI,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN MAHSURI (JALAN PULAU SEBANG),TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN MAHSURI (JALAN SEREMBAN),TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN MUTIARA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN RASA SAYANG,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN REPAH BARU,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SATRIA 2,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SEBANG BARU,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERI BERLIAN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERI INDAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SERI TAMPIN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN SITIAWAN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN TAMPIN,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMAN WOON,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMPIN JAYA,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,TAMPIN TENGAH,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,PETI SURAT,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,BEG BERKUNCI,TAMPIN,NEGERI SEMBILAN,,nan,nan,nan
nan,AYER PUTEH (BATU 13),JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG ANAK AYER RAMBUTAN,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER GAPIS,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER KEMPAS,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER KUNING KEPIS,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER MAWANG,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER PULASAN,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER PUTEH,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER RENGAS,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG AYER TALING,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BALAI PANJANG,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BALIK BUKIT,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BATU 4 (BETONG),JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BERAMBAI,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT CHANGGANG,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG BUKIT ISTANA,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG CHABANG DUA,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG CHARIK,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG CHEGOR,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DANGI,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DEPAN SEKOLAH INAS,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DESA DANGI,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DINGKIR HULU,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DINGKIR,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG DUSUN BESAR,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG EYOR,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GAJAN,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GATING,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GEDUHUM,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG GEMENCHEH HULU,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG INAS TENGAH,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG IPOK,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KABONG HILIR,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KABONG HULU,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KABONG,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KELAPI,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KELOMBOI,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KEPIS BARU,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KEPIS HILIR,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KEPIS HULU,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KEPIS TENGAH,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KEPIS,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KUALA JOHOL,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KUALA NURI,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG KUALA TUMANG,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG LANJUT LUMPUH,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MAHA,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MALAN,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
nan,KAMPUNG MALOK,JOHOL,NEGERI SEMBILAN,,nan,nan,nan
