postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,TAMAN BINTONG SETIA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BINTONG UTAMA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BUKIT KAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BUKIT KAYANGAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BUMITA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BUNGA KEMBOJA RPA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BUNGA RAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN CAHAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN CERGAS,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN CERIA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN CHOO KEE,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DATUK JAAFAR HASSAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DATUK SETIA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DATUK WAN AHMAD,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA BINTONG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA JARAK,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA KATONG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA KAYANGAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA PULAI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA PUTRA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN DESA SENTUA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN FAUZIAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN FIRDAUS,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN GASING,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN GEMBIRA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN GURU JAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN GURU,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN HIJRAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN IDAMAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN INDERA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN INTAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN IRA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JALI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JARAK,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JAWI MATANG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JAYA DIRI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JEJAWI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN JELATI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KANGAR,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KASTAM,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KAYANGAN INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KECHOR INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KECHOR JAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KECOR INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KEMAJUAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KENANGA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN KOPERASI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN LEWATA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN LIMA NALEH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MADA SEPAKAT,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MAS MUDA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MAS PUTRA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MAS RIA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MEDAN SEPAKAT,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MERPATI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MESRA JEJAWI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MESRA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MEWAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MUDA SEPAKAT,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MURNI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN MUTIARA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN NORMA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PEDUKA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PEKELILING,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PENGKALAN ASSAM,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PENGKALAN INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PERLIS,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PERMAI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PERTAMA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PERTIWI INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PERTIWI SERIAB,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PUTERA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN PUTRA PUTRI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN RASA SAYANG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN REPOH INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN REPOH JAYA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN REPOH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SENA INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SENA PERMAI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SENA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SENTUA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SEPADU 1,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SEPADU,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI BAHAGIA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI EMBUN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI IDAMAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI INTAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI MANIS,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI MEDAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI MURNI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI PILIHAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI PUCHONG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI PULAI 4,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERI TANJUNG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SERIAB,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SETIA UTAMA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SIMPANG TIGA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SRI GUAR SYED ALWI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SURIANI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN SYED ALWI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN TEN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN TERATAI,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN TOK PEDUKA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN UTAMA INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN UTAMA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN UTARA,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN WIRA,KANGAR,PERLIS,,nan,nan,nan
nan,TITI CHAI,KANGAR,PERLIS,,nan,nan,nan
nan,TITI MIDIN,KANGAR,PERLIS,,nan,nan,nan
nan,TOK PEDUKA,KANGAR,PERLIS,,nan,nan,nan
nan,UJUNG BATU,KANGAR,PERLIS,,nan,nan,nan
